username,correlation,max
user_txn5176,0.6634956707006314,4000.0
user_mdriemer,0.41027282405561705,64.0
user_morning,0.35785173489202327,1152.0
user_keshprad,-0.3022058161640364,192.0
user_emin,-0.2593490464513195,96.0
user_sohailt,0.23937169675711967,500.0
user_yanfei,0.23362755088709936,2368.0
user_daludot,0.22854296657906933,8.0
user_wendyrw,0.2178192664702319,640.0
user_ahanlon,0.20742060959628472,384.0
user_vsharma5,0.2034818002572541,16.0
user_mdesco,-0.19470904352846163,72.0
user_sschnauck,0.1864207364926399,114.0
user_jmiratsky,0.18233632365199448,764.0
user_sbistany,-0.1803602464825281,20.0
user_thomasmalkus,0.17720640725770131,60.0
user_priebe,-0.16120704930958493,128.0
user_muhung,0.16049261141030852,5.0
user_gprabhak,0.15877423458217627,2.0
user_kgoc,-0.15802762578470544,1104.0
user_mvansch,0.15729969885148193,696.0
user_istabrak,0.14704940973286681,96.0
user_arnoldjr,0.14595084556157384,185.0
user_ljin,0.14585079370627851,1280.0
user_alz,0.13752791598664454,256.0
user_gabrielepadovani,-0.13728573005596864,4.0
user_mlynch,0.13425311104408263,3888.0
user_palashmr,-0.13185513730623227,768.0
user_jubchoi,-0.1291756821042938,640.0
user_vwslz,0.12786076924703255,1628.0
user_nafinm,0.1257054493860424,64.0
user_houjun,0.12368181387695895,512.0
user_kyrylobohachov,-0.122268878049124,320.0
user_akashi,0.12215725378378871,128.0
user_weinberg,0.12125184529446105,12.0
user_rosendod,0.12125184529446083,2.0
user_aaronalt,0.12125184529446083,4.0
user_ghu4,0.12125184529446083,2.0
user_fagbemisa,0.1161707022470494,100.0
user_fangjun,-0.1150859709386208,50.0
max_group_ratio,-0.11322373342387175,1.1015625
user_pauljanson002,-0.11311895620717052,80.0
user_bogenschutz1,0.11219382617390539,512.0
user_spencermoore,0.11113829874714179,225.0
user_nsaini,-0.11090442109674549,300.0
user_vaibhav_016,0.10929614763017768,256.0
user_moore279,-0.10836466809221694,1107.0
user_patrickfan,0.10249713739653511,47.0
user_harshit,-0.09915966199428965,8.0
user_waidmann,-0.09867337191111032,48.0
user_ozier,-0.0968544524477033,4.0
